OTEXE,TDTE3
37,915886
37,229963.48
37,24009.7
37,80531.99
37,151611
37,54771.96
37,4404.04
37,4250
37,12333.02
37,6573.89
37,81524.28
37,11124.18
37,30982.75
37,18384.29
37,71717.78
37,127712
37,107491
37,31662
37,295801
37,233414
37,2927548.52
37,129380
37,52087
37,98475
37,47972
37,261788
37,1832183.69
37,74763
37,124240
37,89148
37,25936
37,106115
37,159695.82
37,24346.42
37,78773
37,19536.66
37,165100.4
37,427598.83
37,27855.48
37,13355.86
37,157358.28
37,13528.13
37,367526
37,57571
37,1064867
37,386579
37,423869
37,60181
37,247815
37,242249
37,210350
37,578822
37,161470
37,177306
37,1704824
37,643334
37,1018097
37,628061
37,506868.7
37,113362
37,5831
37,33952
37,112206
37,99721
37,18701.54
37,54152
37,12534
37,767624
37,4700
37,92321
37,67107
37,327446
37,9570.54
37,70558
37,66124.23
37,174487.39
37,245354.02
37,429141
37,431497
37,273515
37,454187
37,456810.22
37,687278.23
37,1807207
37,1038720
37,722833
37,399006
37,127349
37,833893
37,146470
37,1330311
37,258990.45
37,162141.58
37,126006
37,9283
37,32490
37,65981
37,50909
37,75832.84
37,43942.2
37,342562
37,437174
37,127614
37,1688835
37,53042
